S.No,Cement,Coarse Aggregate,Fine Aggregate,Water,Superplasticizer,Strength
1,360,845,900,160,1.5,48
2,320,950,782,160,1.5,46.1
3,356,845,951,160,1,46
4,463,845,750,180,0.75,52.7
5,300,720,787,168,4.8,52.7
6,486,950,714,170,1,56.1
7,360,950,797,160,1.5,48.7
8,500,769.18,740.16,154,10.5,86.99
9,510,950,628,170,2,61.7
10,400,950,811,160,1,49.4
11,284,898,874,160,1.5,43.8
12,356,898,899,160,0.5,44.5
13,330.85,739.44,857.57,180.05,6.02,57.3
14,350,500,1050,178.5,3.8,49.5
15,425,845,868,170,0,47.7
16,193,900,1024,136.89,2.808,44
17,340,845,838,170,1,45
18,331.33,739.44,875.16,180.05,6.02,57.3
19,302,845,880,170,0.5,41.5
20,411,898,680,180,0.25,47.3
21,486,898,766,170,1.5,57.8
22,360,898,738,180,0,43.2
23,160,900,886,156,3.2,44
24,160,900,886,156,3.2,44
25,330.85,768.88,840,180.05,6.08,58.45
26,340,898,786,170,1,45.1
27,360,898,848,160,1.5,48
28,567,898,700,170,1,63.9
29,284,845,926,160,1.5,43.7
30,567,845,751,170,1.5,64.6
31,383,950,749,170,0,45
32,320,950,835,160,0.5,42.6
33,480,898,604,180,1.75,57
34,340,950,734,170,0.5,43.3
35,320,687,1016,174,5.21,53.6
36,220,900,916,156,3.2,47
37,220,900,916,156,3.2,47
38,350,883,815,183.54,3.864,55.3
39,320,845,938,160,1.5,45
40,425,845,853,170,0,47.1
41,427,844,779,194.57,8,4.336
42,540,845,677,180,1.25,61.1
43,411,845,732,180,1.25,51
44,279.5,630,1135,200,2.1,44.344
45,320,898,886,160,0.5,42.6
46,302,950,776,170,0.5,41
47,237,900,960,159.1,2.96,46
48,237,900,960,159.1,2.96,46
49,400,845,914,160,1,49.6
50,365.5,630,1135,200,3.11,50.982
51,180,829,788,198,3,42.5
52,198,900,874,146.2,3.44,46
53,400,989,863,160,1,49.1
54,340,950,790,170,0,41.3
55,302,898,828,170,0.5,40.8
56,540,950,573,180,0.75,60
57,350,621,939,173.5,6.75,57.3
58,383,898,801,170,0.5,45.7
59,540,898,625,180,0.75,59.9
60,514,898,717,180,0.25,54.6
61,340,845,893,170,0,41.1
62,320,845,834,180,0,40.3
63,360,750,900,200,12,70.67
64,284,950,822,160,1,42.9
65,356,950,847,160,0.5,43.6
66,463,898,698,180,0.25,50.3
67,540,898,625,180,1.25,59.9
68,248,900,808,175.89,3.608,50
69,248,900,808,175.89,3.608,50
70,350,500,1050,143.5,8.9,60.1
71,387,630,1135,200,3.29,51.039
72,360,950,686,180,0,42.4
73,378,845,907,170,0.5,44.9
74,540,845,677,180,1.75,61.1
75,552,1486,342,160,5.52,91.3
76,514,845,769,180,0.25,54.2
77,340,898,842,170,0,40.8
78,383,898,801,170,0,45.7
79,320,898,782,180,0,40
80,540,950,573,180,1.25,60
81,284,950,822,160,1.5,42.9
82,458,698,748,190,8.4,68.2
83,467,762,865,182,8.53,74.2
84,408.5,630,1135,200,3.68,53.006
85,302,898,828,170,0,40.8
86,400,845,914,160,1.5,49.6
87,258,630,1135,200,1.68,43.184
88,480,898,604,180,1.25,57
89,440,927,721,176,9.78,79.6
90,567,845,751,170,1,64.6
91,301,630,1135,200,2.26,44.003
92,320,845,938,160,1,45
93,302,950,776,170,0,41
94,320,898,886,160,1,42.6
95,567,950,648,170,1,62.4
96,567,898,700,170,1.5,63.9
97,340,950,734,170,0,43.3
98,360,845,789,180,0,42
99,302,845,880,170,1,41.5
100,330.36,768.88,857.57,179.74,6.02,56.6
101,383,950,749,170,0.5,45
102,400,989,863,160,0.5,49.1
103,340,898,786,170,0.5,45.1
104,340,845,838,170,0.5,45
105,425,845,868,170,0.5,47.7
106,360,898,848,160,1,48
107,486,845,818,170,1.5,58.8
108,463,845,750,180,0.25,52.7
109,463,845,750,180,1.25,52.7
110,425,950,764,170,0,46
111,425,898,816,170,0,46
112,320,950,835,160,1,42.6
113,220,900,916,156,3.2,45
114,220,900,916,156,3.2,45
115,330.36,754.18,840,180.38,6.02,59.26
116,275,900,827,184.9,3.44,48
117,438,723,774,191,8.1,69.5
118,510,950,628,170,1.5,61.7
119,356,898,899,160,1,44.5
120,360,845,900,160,1,48
121,356,845,951,160,0.5,46
122,356,845,951,160,1.5,46
123,440,924,720,176,8,76.9
124,486,950,714,170,1.5,56.1
125,378,898,855,170,0,42.5
126,348,848,783,174.46,4.576,58.6
127,411,898,680,180,0.75,47.3
128,302,845,880,170,0,41.5
129,400,950,811,160,0.5,49.4
130,344,630,1135,200,2.75,50.37
131,360,898,738,180,0.5,43.2
132,486,950,714,170,0.5,56.1
133,480,950,552,180,1.75,59.6
134,360,845,848,180,0,41.5
135,486,898,766,170,1,57.8
136,320,950,782,160,1,46.1
137,284,898,874,160,1,43.8
138,437,950,697,170,1.5,55.9
139,567,845,751,170,2,64.6
140,360,950,797,160,1,48.7
141,510,898,679,170,2,63.4
142,540,845,677,180,0.75,61.1
143,411,845,732,180,0.75,51
144,400,950,811,160,1.5,49.4
145,284,845,926,160,1,43.7
146,250,853,787,192.66,4.056,51.5
147,425,845,853,170,0.5,47.1
148,237,900,1034,133.2,2.96,49
149,360,750,900,200,12,73.7
150,350,840,768,207.87,2,4.096
151,320,845,886,160,1.5,47.7
152,340,950,734,170,1,43.3
153,400,845,914,160,0.5,49.6
154,320,845,834,180,0.5,40.3
155,302,898,828,170,1,40.8
156,302,950,776,170,1,41
157,514,898,717,180,0.75,54.6
158,331.33,768.88,857.57,179.74,6.08,55.9
159,328.5,533.7,625.1,225,0,40
160,383,898,801,170,1,45.7
161,220,881,686,176,4.4,47.5
162,340,845,893,170,0.5,41.1
163,340,950,790,170,0.5,41.3
164,220,900,916,156,3.2,49
165,220,900,916,156,3.2,49
166,220,900,916,156,3.2,49
167,220,900,916,156,3.2,49
168,220,900,916,156,3.2,49
169,220,900,916,156,3.2,49
170,378,950,803,170,0,41.8
171,417,759,828,182.4,4.56,61.82
172,463,898,698,180,0.75,50.3
173,220,900,916,156,3.2,44
174,540,898,625,180,1.75,59.9
175,400,989,863,160,1.5,49.1
176,330.36,768.88,840,180.05,5.97,55.3
177,514,845,769,180,0.75,54.2
178,427,844,779,243.9,4.336,59.4
179,510,750,900,209,12,77.15
180,378,845,907,170,1,44.9
181,405,845,805,180,0,43.6
182,533,950,701,160,2,67.8
183,411,950,628,180,0.5,45.7
184,320,898,834,160,1.5,48.5
185,320,898,782,180,0.5,40
186,360,950,686,180,0.5,42.4
187,333,500,1050,158,7.3,52.9
188,284,950,822,160,0.5,42.9
189,540,950,573,180,1.75,60
190,340,898,842,170,0.5,40.8
191,480,898,604,180,0.75,57
192,356,950,847,160,1,43.6
193,180,828,788,198,4.8,44.9
194,220,896,697,176,8,64.3
195,350,500,1050,161,6.9,58.7
196,437,898,749,170,1.5,56.6
197,360,845,789,180,0.5,42
198,412.5,520.1,612.7,203.5,0,44
199,320,845,938,160,0.5,45
200,322.5,630,1135,200,2.58,43.984
201,330.85,768.88,875.16,180.38,6.02,61.1
202,567,898,700,170,2,63.9
203,340,845,838,170,0,45
204,425,845,868,170,1,47.7
205,486,845,818,170,1,58.8
206,320,898,886,160,1.5,42.6
207,567,950,648,170,1.5,62.4
208,340,898,786,170,0,45.1
209,514,950,665,180,0.25,52.1
210,300,618,935,162,6.75,52.3
211,405,898,754,180,0,43
212,383,950,749,170,1,45
213,425,898,816,170,0.5,46
214,360,898,848,160,0.5,48
215,275,840,775,183.75,4.2,54.5
216,326,500,1050,158,5.1,54.3
217,425,950,764,170,0.5,46
218,510,845,731,170,2,64.4
219,330,898,699,176,9.11,67.2
220,360,898,797,180,0,40
221,330.36,754.18,875.16,180.05,6.08,61.3
222,411,898,680,180,1.25,47.3
223,360,845,848,180,0.5,41.5
224,437,845,801,170,1.5,56.8
225,360,845,900,160,0.5,48
226,360,898,738,180,1,43.2
227,500,788.07,758.33,140,10.5,88.98
228,320,950,835,160,1.5,42.6
229,333,766,835,180.84,4.384,50.24
230,510,950,628,170,1,61.7
231,378,898,855,170,0.5,42.5
232,315,673,1025,173,5.51,50.7
233,411,845,732,180,0.25,51
234,356,898,899,160,1.5,44.5
235,220,900,916,156,3.2,43
236,480,950,552,180,1.25,59.6
237,440,916,713,176,8.22,79.2
238,325,777,611,221,5.2,50.07
239,350,883,815,251.16,3.864,55.3
240,486,898,766,170,0.5,57.8
241,401.5,518.6,610.9,203.5,0,50
242,510,898,679,170,1.5,63.4
243,330.85,739.44,840,179.74,5.97,53.6
244,425,845,853,170,1,47.1
245,220,880,685,176,8.89,59.9
246,480,845,655,180,1.75,60.8
247,357,742,878,182,7.98,67.5
248,437,950,697,170,1,55.9
249,399,882,814,174.65,3.992,55
250,389,950,680,170,1.5,54.3
251,284,898,874,160,0.5,43.8
252,284,845,926,160,0.5,43.7
253,400,950,759,180,0,42.1
254,320,845,834,180,1,40.3
255,330,913,711,176,7.5,62.2
256,320,950,782,160,0.5,46.1
257,500,769.52,740.48,154,10.5,90.99
258,360,950,745,180,0,39.5
259,310,667,1018,170,6,51.2
260,500,769.85,740.8,154,10.5,83.15
261,360,950,797,160,0.5,48.7
262,220,900,982,132,3.2,51
263,514,898,717,180,1.25,54.6
264,320,845,886,160,1,47.7
265,350,840,768,302.08,4.096,51.7
266,340,845,893,170,1,41.1
267,407,761,815,181,7.5,70.4
268,225,652,908,175,4,41.42
269,514,845,769,180,1.25,54.2
270,463,898,698,180,1.25,50.3
271,540,750,900,209,12,77.82
272,405,845,805,180,0.5,43.6
273,340,950,790,170,1,41.3
274,378,845,907,170,1.5,44.9
275,440,775,866,182,9.35,77.9
276,378,950,803,170,0.5,41.8
277,300,613,927,175.5,6.75,59.1
278,320,898,782,180,1,40
279,411,950,628,180,1,45.7
280,400,898,811,180,0,41.5
281,360,950,686,180,1,42.4
282,360,845,789,180,1,42
283,340,898,842,170,1,40.8
284,320,898,834,160,1,48.5
285,457,950,764,160,1.75,61.5
286,600,898,646,180,0.75,60.5
287,533,950,701,160,1.5,67.8
288,400,845,863,180,0,41.3
289,437,898,749,170,1,56.6
290,331.33,754.18,840,179.74,6.02,53.1
291,533,898,753,160,2,69.4
292,280,900,946,156,3.2,45
293,486,845,818,170,0.5,58.8
294,405,950,702,180,0,41.5
295,356,950,847,160,1.5,43.6
296,453,950,608,170,2,61.9
297,405,898,754,180,0.5,43
298,450,845,821,180,0,44.5
299,330,899,700,176,4.4,60.9
300,360,845,848,180,1,41.5
301,514,950,665,180,0.75,52.1
302,567,950,648,170,2,62.4
303,510,845,731,170,1.5,64.4
304,330.85,754.18,875.16,179.74,6.08,52.9
305,425,898,816,170,1,46
306,360,898,797,180,0.5,40
307,437,845,801,170,1,56.8
308,300,663,923,175,4,54.69
309,412,752,887,182,8.25,73.4
310,480,845,655,180,1.25,60.8
311,378,898,855,170,1,42.5
312,480,950,552,180,0.75,59.6
313,389,845,783,170,1.5,55.3
314,453,898,659,170,2,62
315,377,562,861,227,3.7,56.1
316,510,898,679,170,1,63.4
317,350,500,1050,196,3.2,43
318,600,845,698,180,0.75,59.5
319,540,750,900,200,12,78.05
320,457,898,816,160,1.75,62.1
321,600,950,594,180,0.75,59.7
322,400,950,759,180,0.5,42.1
323,360,812,813,168,6,56
324,198,900,872,154.8,3.44,52
325,198,900,872,154.8,3.44,52
326,437,950,697,170,0.5,55.9
327,389,950,680,170,1,54.3
328,570,750,900,200,12,80.42
329,450,898,770,180,0,43.8
330,360,950,745,180,0.5,39.5
331,275,880,691,187,4.4,57.9
332,320,845,886,160,0.5,47.7
333,405,845,805,180,1,43.6
334,457,845,867,160,1.75,62
335,500,753,820,192.32,4.808,70.93
336,540,750,900,192,12,79.18
337,450,950,718,180,0,43.5
338,400,898,811,180,0.5,41.5
339,411,950,628,180,1.5,45.7
340,378,950,803,170,1,41.8
341,290,837,913,175.5,3.12,42.7
342,400,845,863,180,0.5,41.3
343,331.33,739.44,840,180.38,6.08,63.8
344,600,898,646,180,1.25,60.5
345,440,917,714,176,4.4,69.8
346,331.33,768.88,875.16,180.38,5.97,51.53
347,320,898,834,160,0.5,48.5
348,437,898,749,170,0.5,56.6
349,344,881,814,171.85,3.928,48.75
350,457,950,764,160,1.25,61.5
351,405,950,702,180,0.5,41.5
352,533,898,753,160,1.5,69.4
353,405,898,754,180,1,43
354,533,950,701,160,1,67.8
355,510,845,731,170,1,64.4
356,375,673,938,175,4,60.8
357,360,898,797,180,1,40
