W/c ratio ,Cement Content ,Fine Aggregate ,Coarse Aggregate ,Water content ,SiO2 ,CaO ,Fe2O3 ,Al2O3 ,Specific Gravity ,Curing Days ,Replacement Percentage ,Compressive Strength
0.32 ,168 ,701 ,1052 ,120 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,1 ,50 ,7.7
0.4 ,385 ,729 ,1094 ,154 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,1 ,0 ,21.4
0.42 ,389 ,729 ,1093 ,164 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,1 ,0 ,30.5
0.32 ,168 ,701 ,1052 ,120 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,7 ,50 ,15.9
0.32 ,170 ,710 ,1066 ,122 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,7 ,50 ,20.9
0.32 ,391 ,740 ,1111 ,125 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,7 ,- ,30.5
0.4 ,385 ,729 ,1094 ,154 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,7 ,0 ,32.5
0.42 ,389 ,729 ,1093 ,164 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,7 , ,
0.32 ,168 ,701 ,1052 ,120 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,14 ,50 ,19.6
0.32 ,170 ,710 ,1066 ,122 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,14 ,50 ,27.1
0.32 ,391 ,740 ,1111 ,125 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,14 ,- ,37.5
0.4 ,385 ,729 ,1094 ,154 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,14 ,0 ,34.4
0.42 ,389 ,729 ,1093 ,164 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,14 ,0 ,41
0.32 ,168 ,701 ,1052 ,120 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,28 ,50 ,24
0.32 ,170 ,710 ,1066 ,122 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,28 ,50 ,30.5
0.32 ,391 ,740 ,1111 ,125 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,28 ,- ,43.8
0.32 ,391 ,740 ,1111 ,125 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,28 ,- ,43.3
0.4 ,385 ,729 ,1094 ,154 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,28 ,0 ,38.6
0.4 ,385 ,729 ,1094 ,154 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,28 ,0 ,38.8
0.42 ,389 ,729 ,1093 ,164 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,28 ,0 ,46.3
0.42 ,384 ,720 ,1081 ,162 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,28 ,0 ,42.1
0.32 ,168 ,701 ,1052 ,120 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,91 ,50 ,32.7
0.32 ,170 ,710 ,1066 ,122 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,91 ,50 ,41.6
0.32 ,391 ,740 ,1111 ,125 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,91 ,- ,53.7
0.4 ,385 ,729 ,1094 ,154 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,91 ,- ,43.4
0.42 ,389 ,729 ,1093 ,164 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,91 ,0 ,50.4
0.32 ,168 ,701 ,1052 ,120 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,365 ,50 ,40.3
0.32 ,170 ,710 ,1066 ,122 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,365 ,50 ,61.9
0.5 ,336 ,739 ,1105 ,167 ,52.4 ,13.4 ,4.7 ,23.4 ,2.08 ,1 ,0 ,16.7
0.45 ,247 ,845 ,846 ,186 ,52.4 ,13.4 ,4.7 ,23.4 ,2.08 ,1 ,40 ,8.7
0.4 ,238 ,844 ,844 ,189 ,52.4 ,13.4 ,4.7 ,23.4 ,2.08 ,1 ,40 ,10.7
0.35 ,232 ,846 ,847 ,136 ,52.4 ,13.4 ,4.7 ,23.4 ,2.08 ,1 ,40 ,16.6
0.45 ,207 ,845 ,843 ,188 ,52.4 ,13.4 ,4.7 ,23.4 ,2.08 ,1 ,50 ,6.1
0.4 ,200 ,842 ,843 ,161 ,52.4 ,13.4 ,4.7 ,23.4 ,2.08 ,1 ,50 ,7
0.35 ,197 ,856 ,856 ,138 ,52.4 ,13.4 ,4.7 ,23.4 ,2.08 ,1 ,50 ,7.8
0.45 ,169 ,833 ,853 ,190 ,52.4 ,13.4 ,4.7 ,23.4 ,2.08 ,1 ,60 ,5.2
0.4 ,163 ,851 ,851 ,164 ,52.4 ,13.4 ,4.7 ,23.4 ,2.08 ,1 ,60 ,4.9
0.35 ,161 ,866 ,864 ,141 ,52.4 ,13.4 ,4.7 ,23.4 ,2.08 ,1 ,60 ,7.3
0.5 ,336 ,739 ,1105 ,167 ,52.4 ,13.4 ,4.7 ,23.4 ,2.08 ,7 ,0 ,27.3
0.45 ,247 ,845 ,846 ,186 ,52.4 ,13.4 ,4.7 ,23.4 ,2.08 ,7 ,40 ,21.2
0.4 ,238 ,844 ,844 ,189 ,52.4 ,13.4 ,4.7 ,23.4 ,2.08 ,7 ,40 ,25.8
0.35 ,232 ,846 ,847 ,136 ,52.4 ,13.4 ,4.7 ,23.4 ,2.08 ,7 ,40 ,31.3
0.45 ,207 ,845 ,843 ,188 ,52.4 ,13.4 ,4.7 ,23.4 ,2.08 ,7 ,50 ,17.4
0.4 ,200 ,842 ,843 ,161 ,52.4 ,13.4 ,4.7 ,23.4 ,2.08 ,7 ,50 ,19.3
0.35 ,197 ,856 ,856 ,138 ,52.4 ,13.4 ,4.7 ,23.4 ,2.08 ,7 ,50 ,22.9
0.45 ,169 ,833 ,853 ,190 ,52.4 ,13.4 ,4.7 ,23.4 ,2.08 ,7 ,60 ,15.6
0.4 ,163 ,851 ,851 ,164 ,52.4 ,13.4 ,4.7 ,23.4 ,2.08 ,7 ,60 ,14.7
0.35 ,161 ,866 ,864 ,141 ,52.4 ,13.4 ,4.7 ,23.4 ,2.08 ,7 ,60 ,20.6
0.5 ,336 ,739 ,1105 ,167 ,52.4 ,13.4 ,4.7 ,23.4 ,2.08 ,28 ,0 ,34.6
0.45 ,247 ,845 ,846 ,186 ,52.4 ,13.4 ,4.7 ,23.4 ,2.08 ,28 ,40 ,34.6
0.4 ,238 ,844 ,844 ,189 ,52.4 ,13.4 ,4.7 ,23.4 ,2.08 ,28 ,40 ,37.8
0.35 ,232 ,846 ,847 ,136 ,52.4 ,13.4 ,4.7 ,23.4 ,2.08 ,28 ,40 ,48.3
0.45 ,207 ,845 ,843 ,188 ,52.4 ,13.4 ,4.7 ,23.4 ,2.08 ,28 ,50 ,33.2
0.4 ,200 ,842 ,843 ,161 ,52.4 ,13.4 ,4.7 ,23.4 ,2.08 ,28 ,50 ,34.9
0.35 ,197 ,856 ,856 ,138 ,52.4 ,13.4 ,4.7 ,23.4 ,2.08 ,28 ,50 ,28.9
0.45 ,169 ,833 ,853 ,190 ,52.4 ,13.4 ,4.7 ,23.4 ,2.08 ,28 ,60 ,30.2
0.4 ,163 ,851 ,851 ,164 ,52.4 ,13.4 ,4.7 ,23.4 ,2.08 ,28 ,60 ,26.2
0.35 ,161 ,866 ,864 ,141 ,52.4 ,13.4 ,4.7 ,23.4 ,2.08 ,28 ,60 ,35.8
0.64 ,300 , , , , , , , , , , ,
0.64 ,300 , , , , , , , , , , ,
0.31 ,231 ,852 ,1047 ,119 ,32.2 ,31.9 ,5.6 ,18.1 ,2.58 ,1 ,40 ,17
0.3 ,195 ,854 ,1041 ,120 ,34.9 ,27.6 ,6.2 ,19.6 ,2.62 ,1 ,50 ,7
0.3 ,156 ,834 ,1026 ,121 ,30.9 ,31.4 ,5.2 ,18.3 ,2.68 ,1 ,60 ,0.8
0.3 ,229 ,827 ,1040 ,115 ,32.2 ,31.9 ,5.6 ,18.1 ,2.58 ,1 ,40 ,9.7
0.29 ,193 ,836 ,1032 ,114 ,34.9 ,27.6 ,6.2 ,19.6 ,2.62 ,1 ,50 ,4.8
0.3 ,155 ,842 ,1016 ,116 ,30.9 ,31.4 ,5.2 ,18.3 ,2.68 ,1 ,60 ,2.3
0.3 ,229 ,844 ,1032 ,113 ,32.2 ,31.9 ,5.6 ,18.1 ,2.58 ,1 ,40 ,16.4
0.3 ,193 ,850 ,1126 ,116 ,34.9 ,27.6 ,6.2 ,19.6 ,2.62 ,1 ,50 ,13.1
0.3 ,154 ,818 ,1016 ,117 ,30.9 ,31.4 ,5.2 ,18.3 ,2.68 ,1 ,60 ,6.9
0.31 ,368 ,886 ,1085 ,115 ,- ,- ,- ,- ,- ,7 ,0 ,40.3
0.31 ,231 ,852 ,1047 ,119 ,32.2 ,31.9 ,5.6 ,18.1 ,2.58 ,7 ,40 ,42.8
0.3 ,195 ,854 ,1041 ,120 ,34.9 ,27.6 ,6.2 ,19.6 ,2.62 ,7 ,50 ,34.3
0.3 ,156 ,834 ,1026 ,121 ,30.9 ,31.4 ,5.2 ,18.3 ,2.68 ,7 ,60 ,26.9
0.3 ,229 ,827 ,1040 ,115 ,32.2 ,31.9 ,5.6 ,18.1 ,2.58 ,7 ,40 ,32.6
0.29 ,193 ,836 ,1032 ,114 ,34.9 ,27.6 ,6.2 ,19.6 ,2.62 ,7 ,50 ,23.4
0.3 ,155 ,842 ,1016 ,116 ,30.9 ,31.4 ,5.2 ,18.3 ,2.68 ,7 ,60 ,22.1
0.3 ,229 ,844 ,1032 ,113 ,32.2 ,31.9 ,5.6 ,18.1 ,2.58 ,7 ,40 ,37.7
0.3 ,193 ,850 ,1126 ,116 ,34.9 ,27.6 ,6.2 ,19.6 ,2.62 ,7 ,50 ,33.9
0.3 ,154 ,818 ,1016 ,117 ,30.9 ,31.4 ,5.2 ,18.3 ,2.68 ,7 ,60 ,25.8
0.31 ,368 ,886 ,1085 ,115 ,- ,- ,- ,- ,- ,28 ,0 ,48.6
0.31 ,231 ,852 ,1047 ,119 ,32.2 ,31.9 ,5.6 ,18.1 ,2.58 ,28 ,40 ,55.3
0.3 ,195 ,854 ,1041 ,120 ,34.9 ,27.6 ,6.2 ,19.6 ,2.62 ,28 ,50 ,44
0.3 ,156 ,834 ,1026 ,121 ,30.9 ,31.4 ,5.2 ,18.3 ,2.68 ,28 ,60 ,43.7
0.3 ,229 ,827 ,1040 ,115 ,32.2 ,31.9 ,5.6 ,18.1 ,2.58 ,28 ,40 ,44.6
0.29 ,193 ,836 ,1032 ,114 ,34.9 ,27.6 ,6.2 ,19.6 ,2.62 ,28 ,50 ,36.8
0.3 ,155 ,842 ,1016 ,116 ,30.9 ,31.4 ,5.2 ,18.3 ,2.68 ,28 ,60 ,28.6
0.3 ,229 ,844 ,1032 ,113 ,32.2 ,31.9 ,5.6 ,18.1 ,2.58 ,28 ,40 ,46.3
0.3 ,193 ,850 ,1126 ,116 ,34.9 ,27.6 ,6.2 ,19.6 ,2.62 ,28 ,50 ,42.2
0.3 ,154 ,818 ,1016 ,117 ,30.9 ,31.4 ,5.2 ,18.3 ,2.68 ,28 ,60 ,40
0.31 ,368 ,886 ,1085 ,115 ,- ,- ,- ,- ,- ,91 ,0 ,53
0.31 ,231 ,852 ,1047 ,119 ,32.2 ,31.9 ,5.6 ,18.1 ,2.58 ,91 ,40 ,67.9
0.3 ,195 ,854 ,1041 ,120 ,34.9 ,27.6 ,6.2 ,19.6 ,2.62 ,91 ,50 ,51.2
0.3 ,156 ,834 ,1026 ,121 ,30.9 ,31.4 ,5.2 ,18.3 ,2.68 ,91 ,60 ,54.4
0.3 ,229 ,827 ,1040 ,115 ,32.2 ,31.9 ,5.6 ,18.1 ,2.58 ,91 ,40 ,52.9
0.29 ,193 ,836 ,1032 ,114 ,34.9 ,27.6 ,6.2 ,19.6 ,2.62 ,91 ,50 ,43.4
0.3 ,155 ,842 ,1016 ,116 ,30.9 ,31.4 ,5.2 ,18.3 ,2.68 ,91 ,60 ,41.9
0.3 ,229 ,844 ,1032 ,113 ,32.2 ,31.9 ,5.6 ,18.1 ,2.58 ,91 ,40 ,51.1
0.3 ,193 ,850 ,1126 ,116 ,34.9 ,27.6 ,6.2 ,19.6 ,2.62 ,91 ,50 ,51.3
0.3 ,154 ,818 ,1016 ,117 ,30.9 ,31.4 ,5.2 ,18.3 ,2.68 ,91 ,60 ,44.2
0.31 ,368 ,886 ,1085 ,115 ,365 ,0 ,66.5 , , , , ,
0.31 ,231 ,852 ,1047 ,119 ,32.2 ,31.9 ,5.6 ,18.1 ,2.58 ,365 ,40 ,72.5
0.3 ,195 ,854 ,1041 ,120 ,34.9 ,27.6 ,6.2 ,19.6 ,2.62 ,365 ,50 ,66.9
0.3 ,156 ,834 ,1026 ,121 ,30.9 ,31.4 ,5.2 ,18.3 ,2.68 ,365 ,60 ,60.8
0.3 ,229 ,827 ,1040 ,115 ,32.2 ,31.9 ,5.6 ,18.1 ,2.58 ,365 ,40 ,63.3
0.29 ,193 ,836 ,1032 ,114 ,34.9 ,27.6 ,6.2 ,19.6 ,2.62 ,365 ,50 ,55.1
0.3 ,155 ,842 ,1016 ,116 ,30.9 ,31.4 ,5.2 ,18.3 ,2.68 ,365 ,60 ,52.9
0.3 ,229 ,844 ,1032 ,113 ,32.2 ,31.9 ,5.6 ,18.1 ,2.58 ,365 ,40 ,62.9
0.3 ,154 ,818 ,1016 ,117 ,30.9 ,31.4 ,5.2 ,18.3 ,2.68 ,365 ,60 ,55.7
0.31 ,155 ,616 ,1264 ,114 ,55.6 ,12.3 ,3.48 ,23.1 ,- ,28 ,33.2 ,
0.45 ,409 ,829 ,1026 ,184 ,59.15 ,5.93 ,3.85 ,21.63 ,- ,3 ,0 ,36.5
0.45 ,249.4 ,829 ,1026 ,184 ,59.15 ,5.93 ,3.85 ,21.63 ,- ,3 ,40 ,20.3
0.45 ,184.1 ,829 ,1026 ,184 ,59.15 ,5.93 ,3.85 ,21.63 ,- ,3 ,55 ,12.1
0.45 ,122.7 ,829 ,1026 ,184 ,59.15 ,5.93 ,3.85 ,21.63 ,- ,3 ,60 ,4.7
0.45 ,409 ,829 ,1026 ,184 ,59.15 ,5.93 ,3.85 ,21.63 ,- ,7 , ,
0.45 ,249.4 ,829 ,1026 ,184 ,59.15 ,5.93 ,3.85 ,21.63 ,- ,7 ,40 ,24.3
0.45 ,184.1 ,829 ,1026 ,184 ,59.15 ,5.93 ,3.85 ,21.63 ,- ,7 ,55 ,15
0.45 ,122.7 ,829 ,1026 ,184 ,59.15 ,5.93 ,3.85 ,21.63 ,- ,7 ,60 ,6.7
0.45 ,409 ,829 ,1026 ,184 ,59.15 ,5.93 ,3.85 ,21.63 ,- ,28 ,0 ,47.8
0.45 ,249.4 ,829 ,1026 ,184 ,59.15 ,5.93 ,3.85 ,21.63 ,- ,28 ,40 ,39.6
0.45 ,184.1 ,829 ,1026 ,184 ,59.15 ,5.93 ,3.85 ,21.63 ,- ,28 ,55 ,26.5
0.45 ,122.7 ,829 ,1026 ,184 ,59.15 ,5.93 ,3.85 ,21.63 ,- ,28 ,60 ,11.5
0.45 ,409 ,829 ,1026 ,184 ,59.15 ,5.93 ,3.85 ,21.63 ,- ,56 ,0 ,50.7
0.45 ,249.4 ,829 ,1026 ,184 ,59.15 ,5.93 ,3.85 ,21.63 ,- ,56 ,40 ,48.3
0.45 ,184.1 ,829 ,1026 ,184 ,59.15 ,5.93 ,3.85 ,21.63 ,- ,56 ,55 ,34.4
0.45 ,122.7 ,829 ,1026 ,184 ,59.15 ,5.93 ,3.85 ,21.63 ,- ,56 ,60 ,16
0.45 ,409 ,829 ,1026 ,184 ,59.15 ,5.93 ,3.85 ,21.63 ,- ,90 ,0 ,52.5
0.45 ,249.4 ,829 ,1026 ,184 ,59.15 ,5.93 ,3.85 ,21.63 ,- ,90 ,40 ,51.1
0.45 ,184.1 ,829 ,1026 ,184 ,59.15 ,5.93 ,3.85 ,21.63 ,- ,90 ,55 ,41.2
0.45 ,122.7 ,829 ,1026 ,184 ,59.15 ,5.93 ,3.85 ,21.63 ,- ,90 ,60 ,28.1
0.56 ,360 ,616 ,410 ,25.1 ,39.8 ,15.2 ,13.7 ,21.5 ,- ,28 ,0 ,43.2
0.56 ,322 ,611 ,408 ,23.9 ,39.8 ,15.2 ,13.7 ,21.5 ,- ,28 ,10 ,41.5
0.56 ,320 ,607 ,404 ,25.4 ,39.8 ,15.2 ,13.7 ,21.5 ,- ,28 ,10 ,46.2
0.56 ,284 ,607 ,405 ,23.3 ,39.8 ,15.2 ,13.7 ,21.5 ,- ,28 ,20 ,37.5
0.56 ,280 ,598 ,398 ,26 ,39.8 ,15.2 ,13.7 ,21.5 ,- ,28 ,20 ,43
0.56 ,247 ,604 ,402 ,22.7 ,39.8 ,15.2 ,13.7 ,21.5 ,- ,28 ,30 ,33.5
0.56 ,243 ,594 ,396 ,25 ,39.8 ,15.2 ,13.7 ,21.5 ,- ,28 ,30 ,36.5
0.34 ,400 ,600 ,1200 ,136 ,50.2 ,2.6 ,13.2 ,28.6 ,2.4 ,1 ,0 ,12.05
0.32 ,400 ,600 ,1200 ,128 ,50.2 ,2.6 ,13.2 ,28.6 ,2.4 ,1 ,0 ,33.51
0.28 ,120 ,600 ,1200 ,112 ,50.2 ,2.6 ,13.2 ,28.6 ,2.4 ,1 ,70 ,1.76
0.29 ,120 ,600 ,1200 ,116 ,50.2 ,2.6 ,13.2 ,28.6 ,2.4 ,1 ,70 ,7.09
0.33 ,200 ,600 ,1200 ,132 ,50.2 ,2.6 ,13.2 ,28.6 ,2.4 ,1 ,50 ,5.62
0.3 ,200 ,600 ,1200 ,120 ,50.2 ,2.6 ,13.2 ,28.6 ,2.4 ,1 ,50 ,28.25
0.34 ,400 ,600 ,1200 ,136 ,50.2 ,2.6 ,13.2 ,28.6 ,2.4 ,3 ,0 ,38.41
0.32 ,400 ,600 ,1200 ,128 ,50.2 ,2.6 ,13.2 ,28.6 ,2.4 ,3 ,0 ,45.27
0.28 ,120 ,600 ,1200 ,112 ,50.2 ,2.6 ,13.2 ,28.6 ,2.4 ,3 ,70 ,16.34
0.29 ,120 ,600 ,1200 ,116 ,50.2 ,2.6 ,13.2 ,28.6 ,2.4 ,3 ,70 ,16.64
0.33 ,200 ,600 ,1200 ,132 ,50.2 ,2.6 ,13.2 ,28.6 ,2.4 ,3 ,50 ,31.85
0.3 ,200 ,600 ,1200 ,120 ,50.2 ,2.6 ,13.2 ,28.6 ,2.4 ,3 ,50 ,35.3
